country,profession,level,gross_annual_eur,net_annual_eur
Germany,Marketing Manager,senior,78000,47200
Portugal,Marketing Manager,junior,20000,15400
Portugal,Marketing Manager,mid,30000,22000
Portugal,Marketing Manager,senior,45000,30700
United Kingdom,Marketing Manager,junior,35100,28200
United Kingdom,Marketing Manager,mid,52600,39600
United Kingdom,Marketing Manager,senior,76100,54200
Netherlands,Marketing Manager,junior,40000,30400
Netherlands,Marketing Manager,mid,58000,41400
Netherlands,Marketing Manager,senior,82000,54800
New Zealand,Marketing Manager,junior,30800,25200
New Zealand,Marketing Manager,mid,41300,32700
New Zealand,Marketing Manager,senior,57800,43500
Spain,Marketing Manager,junior,26000,20300
Spain,Marketing Manager,mid,38000,28200
Spain,Marketing Manager,senior,55000,38500
UAE,Marketing Manager,junior,32500,32500
UAE,Marketing Manager,mid,50000,50000
UAE,Marketing Manager,senior,75000,75000
Ireland,Marketing Manager,junior,38000,30400
Ireland,Marketing Manager,mid,55000,40800
Ireland,Marketing Manager,senior,80000,55200
Sweden,Marketing Manager,junior,35200,27200
Sweden,Marketing Manager,mid,48400,35700
Sweden,Marketing Manager,senior,66000,46800
Switzerland,Marketing Manager,junior,73500,61300
Switzerland,Marketing Manager,mid,105000,85100
Switzerland,Marketing Manager,senior,147000,115500
Thailand,Marketing Manager,junior,7800,7200
Thailand,Marketing Manager,mid,14300,12800
Thailand,Marketing Manager,senior,23400,20200
Mexico,Marketing Manager,junior,9200,7800
Mexico,Marketing Manager,mid,16100,13300
Mexico,Marketing Manager,senior,27600,22100
Japan,Marketing Manager,junior,27400,22300
Japan,Marketing Manager,mid,42700,32700
Japan,Marketing Manager,senior,61000,44800
Estonia,Marketing Manager,junior,18000,14800
Estonia,Marketing Manager,mid,27600,22400
Estonia,Marketing Manager,senior,40800,32600
Singapore,Marketing Manager,junior,31000,28800
Singapore,Marketing Manager,mid,48300,43400
Singapore,Marketing Manager,senior,72400,63000
Costa Rica,Marketing Manager,junior,11000,9700
Costa Rica,Marketing Manager,mid,18400,15700
Costa Rica,Marketing Manager,senior,29400,24200
Malaysia,Marketing Manager,junior,8300,7800
Malaysia,Marketing Manager,mid,14800,13400
Malaysia,Marketing Manager,senior,24800,21700
Panama,Marketing Manager,junior,11500,10100
Panama,Marketing Manager,mid,19300,16500
Panama,Marketing Manager,senior,31300,26200
Austria,Marketing Manager,junior,38000,26200
Austria,Marketing Manager,mid,54000,36000
Austria,Marketing Manager,senior,76000,48400
Chile,Marketing Manager,junior,11000,9700
Chile,Marketing Manager,mid,20700,17600
Chile,Marketing Manager,senior,34500,28200
Czech Republic,Marketing Manager,junior,17600,13700
Czech Republic,Marketing Manager,mid,26400,20300
Czech Republic,Marketing Manager,senior,40000,30400
Denmark,Marketing Manager,junior,45500,29500
Denmark,Marketing Manager,mid,60200,38300
Denmark,Marketing Manager,senior,83000,50500
South Korea,Marketing Manager,junior,27600,23500
South Korea,Marketing Manager,mid,41400,34100
South Korea,Marketing Manager,senior,62100,49200
Uruguay,Marketing Manager,junior,9200,7400
Uruguay,Marketing Manager,mid,16100,12500
Uruguay,Marketing Manager,senior,27600,20700
