country,programme,processing_days
Panama,Técnico de la Fundación Ciudad del Saber,30
Papua New Guinea,Student Visa (PNG),30
Peru,Calidad Migratoria Permanente (Permanent Residence),30
Peru,Cooperante (International Cooperation Worker),30
Peru,Doble Nacionalidad (Dual Nationality),30
Peru,Formación,30
Peru,Intercambio (Cultural Exchange),30
Peru,Investigación Residente (Resident Researcher),30
Peru,Nacionalidad por Distinción Meritoria (Honorary Naturalization),30
Peru,Periodismo (Journalism),30
Peru,Recuperación de la Nacionalidad (Recovery of Nationality),30
Peru,Trabajador Residente (Resident Worker),30
Peru,Trabajador Temporal (Temporary Worker),30
Poland,Studies/Education,30
Portugal,Visto Nacional de Estada Temporária (VTE),30
Qatar,Permanent Residence Card,30
Qatar,Permanent Residency Card,30
Republic of the Congo,Carte de résident,30
Republic of the Congo,Permis de travail,30
Republic of the Congo,Titre de séjour,30
Romania,EU Blue Card,30
Romania,Independent residence permit,30
Romania,Nominal work permit,30
Romania,Types of work permits,30
Russia,Admission to Russian Federation citizenship (general procedure),30
Russia,Restoration of Russian Federation citizenship,30
Rwanda,Q1: Foreign employee (working for multi-national of regional company having its international or regional office in Rwanda),30
Serbia,Temporary Residence Permit,30
Seychelles,Dependents Permit,30
Slovenia,Purpose of residence - EU blue card,30
Slovenia,Purpose of residence - other legitimate reasons,30
Slovenia,Research activities within the framework of higher vocational colleges and higher education institutions,30
South Korea,D-2-5 Student Visa – Research Studies,30
South Korea,D-4-1 Training Visa – University-Affiliated Language Institute,30
South Korea,E-1 Professor Visa,30
South Korea,E-6-2 Arts and Entertainment Visa – Hotel and Entertainment,30
South Korea,F-1-13 Family Visit Visa – Parent of International Student,30
South Korea,F-2-3 Resident Visa – Family Member of Permanent Resident,30
South Korea,F-4-14 Overseas Korean Visa – University Graduate,30
South Korea,F-4-15 Overseas Korean Visa – OECD Permanent Resident,30
Spain,"Entrepreneur Authorization (Emprendedor, Ley 14/2013)",30
Spain,"Highly Qualified Professional Authorization (HQP, Ley 14/2013)",30
Spain,"Non-Lucrative Residence Authorization (Residencia No Lucrativa, RD 1155/2024)",30
Spain,Residence card of a family member of a European Union citizen,30
Spain,Tarjeta de residencia de familiar de ciudadano de la Unión Europea,30
Suriname,Naturalisatie,30
Sweden,Artists Work Permit,30
Sweden,EU Blue Card,30
Sweden,Permanent residence permits for doctoral students,30
Sweden,Researcher Residence Permit,30
Syria,Expatriate Citizen Certificate,30
São Tomé and Príncipe,Certificado de Residência Permanente,30
São Tomé and Príncipe,Certificado de Residência Temporária,30
São Tomé and Príncipe,Visto de Residência para exercício de actividade Profissional independente,30
São Tomé and Príncipe,Visto de Residência para o Exercício de Actividade Profissional Subordinada,30
Taiwan,Alien Permanent Residency Certificate,30
Taiwan,Foreign freelance art workers,30
Taiwan,Study in Taiwan,30
Tajikistan,Permit for recruiting foreign labour,30
Tajikistan,Visa Free Economic Zone,30
Thailand,Destination Thailand Visa (DTV),30
Thailand,Thailand Privilege Card,30
Timor-Leste,"Timorese Citizenship by Naturalization (10-year general track, Lei da Nacionalidade)",30
Timor-Leste,Visto Trabalho/Work visa (VTB),30
Tonga,Employment Visa (Tonga),30
Tonga,"Student Visa (Tonga, primary/secondary/tertiary)",30
Trinidad and Tobago,6(1)c – Marriage to a Citizen/Resident of Trinidad and Tobago,30
Tunisia,Octroi de la carte de séjour pour étrangers,30
Turkmenistan,Hemişelik ýaşamak üçin rugsatnama,30
Turkmenistan,Türkmenistanyň raýatlygy,30
Turkmenistan,Ýaşamak üçin ygtyýarnama,30
Turks and Caicos Islands,Work Permit,30
Tuvalu,Permit to enter and reside to conduct business,30
United Arab Emirates,Issuance of a Residence Visa for Individuals with Specialized Talents,30
Yemen,"Yemeni Citizenship by Naturalization (Law No. 6/1990, 5-10 year track)",30
Zambia,Temporary Employment Permit,30
Zimbabwe,Spouse Residence Permit,30
Canada,IEC Working Holiday — International Experience Canada,35
Cyprus,Startup Visa,35
New Zealand,Post Study Work Visa,35
New Zealand,Talent (Accredited Employer) Work Visa,35
Cuba,"Inversores y de Negocios — Diáspora Cubana (DL 117/2026, Cuban Diaspora Investor)",37
Finland,Extended permit for an employed person (TTOL),38
Australia,Australian Citizenship by Descent,40
Iceland,Application for Icelandic citizenship,40
Montenegro,Temporary Residence for Family Reunification,40
Montenegro,Temporary Residence for High School or Higher Education,40
Montenegro,Temporary Residence for Participation in International Exchange Programs for Pupils and Students or Other Programs for the Young,40
Montenegro,Temporary Residence for Scientific Research Activities,40
Montenegro,"Temporary Residence for Specialization, Professional Training or Practical Training",40
Montenegro,Temporary residence for the purpose of performing religious services in Montenegro,40
Montenegro,Temporary residence permit for a digital nomad,40
South Africa,Relative - Section 27(g),40
Barbados,"Short-Term Work Permit (Section 17, Cap. 190)",42
Cayman Islands,Full Work Permit,42
Cook Islands,Resident Spouse Visa and Permit,42
Ethiopia,Expatriate Work Permit,42
Greece,"Dependent employment and provision of services or work - Initial granting under Article 15, paragraph 1 (Law 4251/14) or first renewal (change of residence purpose).",42
Hong Kong,General Employment Policy and Admission Scheme for Mainland Talents and Professionals (Technical Professionals Stream),42
Hong Kong,Sector-specific Labour Importation Schemes,42
Hong Kong,Special Scheme to Import Care Workers for Residential Care Homes,42
Hong Kong,Students,42
Kuwait,Domestic Work Residence Article 22,42
Marshall Islands,Employment Visa (E-1),42
Namibia,Digital Nomad Visa,42
Netherlands,Residence Permit — Essential Start-up Personnel,42
Qatar,Residence Permit and QID,42
United Arab Emirates,Residency and EID/Government Employee,42
Bhutan,Entry Permit on Arrival — Indian nationals,45
Bhutan,Student Visa (academic course in Government-recognised Bhutanese institution),45
Bosnia and Herzegovina,Temporary Residence of Aliens Engaged on Projects of Significance for BiH,45
El Salvador,Residencia Temporal Pensionados,45
Kazakhstan,Issuance of permit to foreign IT specialists for permanent residence in the Republic of Kazakhstan,45
Kazakhstan,Issuance of permit to foreigners and stateless persons for permanent residence in the Republic of Kazakhstan,45
Malaysia,Citizenship by Naturalisation,45
Portugal,Seasonal Work Visa,45
Spain,"Researcher Authorization (Investigador, Ley 14/2013 + LOEX Art 25g)",45
United States,O-1,45
Algeria,Visa de travail temporaire / Temporary Work Visa,48
Pakistan,NGO's Visa,48
Pakistan,Work Visa/CPEC Projects,48
Philippines,Permanent Resident Visa (PRV),48
Cyprus,Digital nomads and family members (VIS),49
New Zealand,Accredited Employer Work Visa,49
Macau,Non-Resident Worker Permit (Blue Card),50
Austria,Residence Permit – Researcher-Mobility,56
Belize,CARICOM Skills Certificate / CSME (Belize),56
Bhutan,Work Permit,56
Germany,Visa for Professionally Experienced Workers (§19c(2) AufenthG + §6 BeschV),56
Hong Kong,Enhanced Supplementary Labour Scheme,56
Hong Kong,Foreign Domestic Helper,56
Hong Kong,Working Holiday,56
India,Journalist Visa,56
Ireland,Long Stay D Visa (Study),56
Ireland,Long Term Study Visa,56
Malta,Long-Stay Visa,56
Netherlands,Residence permit under EU-UK Trade Agreement,56
Netherlands,Single Permit: GVVA,56
Somalia,Work Permit,56
South Korea,C-4 Short-Term Employment Visa,56
Sweden,Swiss citizens,56
United Kingdom,Graduate visa,56
Andorra,Autorització d'immigració de residència i treball (Residence and Work Authorisation),60
Andorra,Autorització d'immigració per estudis (Student Residence Authorisation),60
Andorra,Autorització d'immigració temporal (Seasonal Worker Temporary Authorisation),60
Andorra,Autorització d'immigració temporal per a joves amb opció de treball (Youth Mobility with Work),60
Andorra,Autorització d'immigració temporal per a treballadors d'empreses estrangeres (Foreign Company Posted Worker),60
Andorra,Autorització de residència i treball del personal dels centres d'ensenyament (Treaty-Based School Staff Residence and Work),60
Andorra,Autorització de residència per al programa per a emprenedors estrangers (Foreign Entrepreneur Programme),60
Andorra,Autorització de residència per raons de reagrupament amb diplomàtics andorrans en actiu a l'exterior (Family Reunification of Andorran Diplomats Stationed Abroad),60
Andorra,Autorització de residència per raons de reagrupament familiar (Family Reunification Residence),60
Andorra,Autorització de treball de fronterer (Cross-Border Worker Authorisation),60
Andorra,Autorització de treball sense residència (Work-Without-Residence Authorisation),60
Andorra,Autorització de treball temporal de fronterer (Seasonal Cross-Border Worker Authorisation),60
Andorra,Demanda de nacionalitat - 10 anys de residència i escolaritat obligatòria,60
Andorra,Demanda de nacionalitat - 20 anys de residència,60
Andorra,Demanda de nacionalitat - per matrimoni,60
Argentina,Residencia Transitoria — Turista (Tourist),60
Australia,Subclass 191 — Permanent Residence (Skilled Regional),60
Austria,Mobile Researcher — Forscher-Mobilität from another EU Member State (§ 61 NAG),60
Azerbaijan,Permanent residence of foreigners and stateless persons in the territory of Azerbaijan,60
Belgium,Researchers,60
Bhutan,Employment Visa — Skilled and Technical Workers (1-year cap),60
Bolivia,Visa de Estudiante + Permanencia Temporal Estudiante (Student Visa + Temporary Student Residence),60
Bosnia and Herzegovina,Long-term Stay Visa (Visa D),60
Brazil,Conversão da naturalização provisória em definitiva,60
Canada,Bridging Open Work Permit (BOWP),60
Chile,Nacionalidad Chilena por Descendencia (Jus Sanguinis — Hijo de Chileno Nacido en el Exterior),60
Chile,Nacionalización por Carta (Naturalisation — Carta de Nacionalización),60
Colombia,Carta de Naturalización — Vía Estándar (5 años),60
Colombia,Visa R Residente — Vía Estándar (post 5 años visa M),60
Croatia,EU Blue Card (Highly-Qualified Third-Country National),60
Croatia,Posted Worker Stay and Work Permit,60
Croatia,Researcher Temporary Stay (Hosting Agreement),60
Croatia,"Stay and Work Permit (Single Permit, employer-sponsored)",60
Croatia,Temporary Stay for Secondary School Education,60
Croatia,Temporary Stay for University Studies,60
Cuba,Inversionista Ley 118/2014 (Foreign Investor — Joint Venture / ZEDM),60
Cuba,Residente de Inmobiliarias (Real Estate Resident — Tourist Complex Owner),60
Cyprus,Category A,60
Cyprus,Category D,60
Czechia,EU Long-Term Resident Status (Directive 2003/109/EC),60
Czechia,Long-Stay Visa — Working Holiday (bilateral agreements),60
Czechia,"Long-Term Residence — Doing Business (self-employed, živnostenský list)",60
Czechia,Long-Term Residence — Jobseeker / Business Start-up (post-graduation),60
Czechia,Long-Term Residence — Scientific Research (Directive 2016/801/EU),60
Czechia,"Long-Term Residence — Studies (§64 Act 326/1999, Directive 2016/801/EU)",60
Czechia,Long-term residence permit for family purposes,60
Czechia,Long-term residence permit for sports purposes,60
Czechia,Long-term residence permit for the purpose of doing business,60
Czechia,Long-term residence permit for the purpose of family reunification,60
Czechia,Long-term residence permit for the purpose of scientific research,60
Czechia,Long-term residence permit for the purpose of studies,60
Czechia,Long-term visas and long-term residence permits for the purpose of studies,60
Czechia,"Permanent Residence (trvalý pobyt, §66 Act 326/1999, after 5 years)",60
Czechia,Permanent Residence — Blue Card Holder (5 years across EU),60
Czechia,Special Work Visa (mimořádné pracovní vízum) — sector-quota agriculture/food,60
Czechia,Study,60
Denmark,Educational attachment scheme,60
Denmark,Student Residence Permit,60
Denmark,Study permit,60
Dominican Republic,Student Visa (Visa de Estudiante),60
Finland,Residence permit application for person with a degree completed in Finland,60
France,Carte de séjour pluriannuelle « talent-chercheur »,60
France,Carte de séjour pluriannuelle « talent-chercheur-programme de mobilité »,60
France,Carte de séjour pluriannuelle « talent-salarié qualifié »,60
France,Carte de séjour temporaire « entrepreneur/profession libérale »,60
France,Nationalité française par mariage,60
France,Naturalisation française par décret,60
France,Talent-corporate officer,60
Greece,Residence permit for dependent employment (Article 15),60
Guyana,Registration as a Citizen of Guyana,60
Iceland,Residence permit for missionaries,60
Italy,ADOZIONE,60
Italy,MOTIVI RELIGIOSI,60
Italy,Permesso di soggiorno UE di lungo periodo,60
Libya,Full-time students residing in universities or other educational institutions in Libya,60
Luxembourg,Conditions of residence for third-country national trainees,60
Luxembourg,Residence permit for third-country students,60
Luxembourg,Staying in Luxembourg to find a job or start a business after completing your studies,60
Malta,Family reunification,60
Netherlands,Coming to the Netherlands as a long-term EU resident,60
Netherlands,Intra Corporate Transferee (ICT),60
Netherlands,Residence permit for work experience under EU programme,60
Norway,"EU/EEA Residence Right (Norway, registration scheme)",60
Norway,Residence permit for skilled workers,60
Panama,Personal Extranjero Contratado como Ejecutivo en Empresas de la Zona Libre de Colón,60
Panama,Personal Extranjero Contratado por Empresas bajo Contrato con el Gobierno,60
Peru,Formación / Investigación Temporal (Study / Research — Temporary),60
Poland,Apply to be recognised as a Polish citizen,60
Poland,Confirmation of Polish Citizenship by Descent (Potwierdzenie Posiadania Obywatelstwa),60
Poland,EU Blue Card,60
Poland,Family,60
Poland,Recover your lost Polish citizenship,60
Poland,Temporary residence permit for a family member of a Polish citizen (spouse) — art. 158,60
Portugal,Visto Nacional CPLP (Mobilidade) — Acordo CPLP 2021,60
Portugal,"Visto Nacional de Residência (D-Visa, entrada para pedir AR)",60
Portugal,Visto para Procura de Trabalho (Art. 88.º n.º 7),60
Russia,Temporary Residence Permit for education purposes,60
Russia,Work Patent,60
Samoa,Citizenship by Descent,60
Slovenia,Personal work permit for self-employment,60
Slovenia,Purpose of residence - posting,60
South Africa,Critical Skills Work Visa,60
South Africa,General Work Visa,60
South Africa,Intra-company Transfer Work Visa,60
South Korea,D-9-3 Trade and Investment Visa – Vessel Equipment Installation,60
South Korea,H-2-5 Working Visit Visa – Lottery Selection (Overseas Korean),60
Spain,Autorizaciones de reagrupación familiar,60
Spain,"Intra-Corporate Transferee Authorization (Movimientos Intraempresariales, Ley 14/2013)",60
Sweden,EU Mobility Studies Permit (Stay in Sweden),60
Sweden,Family of Employee/Self-Employed (Apply Afterwards),60
Sweden,Family of an employee or self-employed person who apply afterwards,60
Sweden,Residence Permit for Studies at Higher Education (Sweden),60
Thailand,Working Holiday Scheme (New Zealand holders of ordinary passports only/currently residing in New Zealand),60
Turkey,Permanent Work Permit,60
New Zealand,Student Visa,66
Hungary,EU residence card,70
Hungary,National residence card,70
Hungary,Permanent Residence Card,70
New Zealand,China Special Work Visa,70
New Zealand,Global Impact Permanent Residence Visa,70
New Zealand,Global Impact Work Visa,70
DR Congo,Carte de Séjour Temporaire (Ordinary Settlement — Visa d'Établissement Ordinaire),72
Lebanon,Granting a temporary visa until the foreigner gets his passport renewed,72
Albania,Au Pair Residence Permit,84
Albania,Family Reunification (Bashkim Familjar — Art 40/41),84
Albania,Investor Residence Permit (Strategic Investor / Real Estate),84
Albania,Residence Permit for Use of Owned Immovable Property (Property Owner Residence),84
Albania,Single Permit for Digital Mobile Workers (Leje Unike — Digital Nomad),84
Albania,Unique Permit — Self-Employed,84
Bahamas,Permit to Reside (Annual Permit),84
Bahamas,Permit to Reside – Dependant,84
Bahamas,Work Permit (New),84
Ireland,Contract for Services Employment Permit,84
Ireland,Critical Skills Employment Permit,84
Ireland,Dependant/Partner/Spouse Employment Permit,84
Ireland,Exchange Agreement Employment Permit,84
Ireland,General Employment Permit,84
Ireland,Hosting Agreement,84
Ireland,Internship Employment Permit,84
Ireland,Intra-Company Transfer Employment Permit,84
Ireland,Reactivation Employment Permit,84
Ireland,Sport and Cultural Employment Permit,84
Antigua and Barbuda,Change of Status - Work (CS-1),90
Argentina,Ciudadanía por naturalización,90
Argentina,Ley 346 - Ciudadanía Argentina,90
Armenia,Citizenship — Child of former Armenian citizen (1 year residence),90
Armenia,Citizenship — Parent or child is Armenian citizen,90
Armenia,"Citizenship — Recovery (former Armenian citizen, post-1995)",90
Armenia,Citizenship — by Armenian descent (no residence requirement),90
Armenia,Citizenship — by marriage (2 years marriage + 365 days residence),90
Armenia,Naturalisation — Standard residence path (3 years),90
Armenia,Refugee status — Citizenship path,90
Armenia,Stateless person — Citizenship path,90
Armenia,Submission of Citizenship Application,90
Australia,Skilled Nominated visa (subclass 190),90
Austria,"National Visa (Type D, long-stay)",90
Austria,Residence Permit – Student – mobility programme or agreement between higher education institutions,90
Belgium,"Naturalisation (Exceptional Merits, Art. 19)",90
Belgium,Post-Study Search Year Permit (Art. 61/1/9 ff),90
Belgium,Professional card,90
Belgium,"Reacquisition of Belgian Nationality (Recouvrement, Art. 24)",90
Belgium,Seasonal Worker (Travailleur saisonnier),90
Belgium,Self-Employed / Professional Card (Carte Professionnelle),90
Belgium,Trainees,90
Bosnia and Herzegovina,Temporary Residence Grounded on Unpaid Internship,90
Bosnia and Herzegovina,Temporary Residence for Highly Qualified Employment – The Blue Card,90
Bosnia and Herzegovina,Temporary Residence for Redeployment within a Legal Entity,90
Bosnia and Herzegovina,Temporary Residence — Work Without Work Permit (specialist categories),90
Botswana,Work Permit,90
Canada,Open Work Permit — Spouse of Skilled Worker / International Student,90
Canada,"TFWP — Global Talent Stream (LMIA, expedited)",90
Central African Republic,Temporary Work Visa (Permis de Travail temporaire),90
Chile,Extranjeros que desarrollan actividades lícitas remuneradas,90
Chile,Residencia Temporal — Actividades Lícitas Remuneradas (Subordinated Employment / Self-Employed),90
Colombia,Temporary service provider,90
Colombia,Visa M Trabajador,90
Croatia,Digital Nomad Temporary Stay (Croatia DNV),90
Croatia,Intra-Corporate Transferee Permit (ICT — Manager/Specialist),90
Croatia,Intra-Corporate Transferee Permit (ICT — Trainee),90
Cyprus,Intra-Corporate Transfer,90
Cyprus,Long-Term Resident — EU Status (Form MLT1),90
Cyprus,Naturalisation by Marriage / Civil Partnership (Form M125),90
Cyprus,Seasonal work (ESW),90
Czechia,Citizenship by Declaration — Czech/Czechoslovak Ancestry (§§31-36 Act 186/2013),90
Czechia,"EU Blue Card (modrá karta EU, §42i Act 326/1999)",90
Czechia,"Employee Card (zaměstnanecká karta, §42g Act 326/1999)",90
Czechia,"Intra-Corporate Transfer Card (karta vnitropodnikově převedeného zaměstnance, ICT, §42k Act 326/1999)",90
Czechia,Intra-company Employee Transfer Card,90
Czechia,Intra-company Employee Transfer Card of Another EU Member State,90
Czechia,"Long-Stay Visa D (vízum k pobytu nad 90 dnů, ≤1 year)",90
Czechia,"Long-Stay Visa for Family Purposes (≤1 year, transition to family-reunification residence)",90
Czechia,Training,90
Denmark,Establishment card,90
Denmark,Fast-Track Scheme – Supplementary Pay Limit Track,90
Denmark,Start-up Denmark,90
Denmark,Supplementary Pay Limit Scheme,90
Dominican Republic,Ordinary Temporary Residence (RT-9),90
Dominican Republic,Residencia Temporal (general),90
Dominican Republic,Temporary Residence for Religious (RT-4),90
Dominican Republic,Work Visa + Temporary Residence (Residencia Temporal por Trabajo),90
Egypt,Work Permit (Employee-sponsored),90
Estonia,Residence Permit for Employment,90
Finland,Certificate for seasonal work,90
Finland,Residence permit for seasonal work,90
France,Carte de séjour pluriannuelle « talent-carte bleue européenne » (EU Blue Card),90
France,Carte de séjour temporaire « jeune au pair »,90
Georgia,IT Residence Permit,90
Greece,Employment in the context of intra-corporate transfer,90
Greece,Renewal of a ten-year residence permit for employment in cases where the basic requirements for long-term resident status are not met (Articles 15 and 138 par.1),90
Greece,"Residence permit for Foreign Press Correspondents (Law 4251/14, art. 17)",90
Hong Kong,Certificate of Entitlement,90
Hungary,Simplified Naturalisation for Hungarian Descendants (Egyszerűsített Honosítás),90
Ireland,Join family visa,90
Italy,LAVORO SUBORDINATO,90
Italy,LAVORO SUBORDINATO - MARITTIMI,90
Jamaica,Work Permit Exemption,90
Japan,経営・管理（Business Manager）,90
Kazakhstan,Citizenship of the Republic of Kazakhstan,90
Liberia,Work Permit,90
Luxembourg,'EU Blue Card' residence permit,90
Luxembourg,Residence permit for self-employed third-country nationals,90
Malta,Study,90
Moldova,Permanent Residence,90
Netherlands,Frontier worker based on Withdrawal Agreement,90
Netherlands,Highly Skilled Migrant (Kennismigrant),90
Netherlands,International Trade Regulation,90
Netherlands,Intra EU mobility student (Directive (EU) 2016/801),90
Netherlands,Intra-corporate transferee residence permit (Directive 2014/66/EU),90
Netherlands,Permanent residency based on Withdrawal Agreement,90
Netherlands,Permanent residency for Union citizens and their family,90
Netherlands,Pilot incoming mobility mbo-4,90
Netherlands,Residence permit Cultural exchange,90
Netherlands,Residence permit Working Holiday,90
Netherlands,Residence permit cross-border service provider,90
Netherlands,Residence permit for family members under 8 ECHR,90
Netherlands,Seafaring service as a crew member on board a seagoing vessel,90
Netherlands,"Start-up Visa (1 year, RVO-vetted)",90
Netherlands,Student residence permit for university or higher professional education,90
Netherlands,Temporary residency based on Withdrawal Agreement,90
Norway,Residence card for family members of EU/EEA nationals,90
Panama,Extranjero Contratado por la Autoridad del Canal de Panamá,90
Paraguay,Residencia Espontánea u Ocasional establecida por la Ley N° 6984/2022 de Migraciones,90
Poland,Intra-corporate transfers,90
Portugal,AR Emitida a Estudantes do Ensino Superior (Art. 92.º),90
Portugal,AR para Ascendentes em 1.º Grau de Nacionais de Países Terceiros,90
Portugal,AR para Estagiários (Art. 93.º),90
Portugal,AR para Estudantes (Art. 92.º),90
Portugal,AR para Ex-Beneficiários de Estatuto de Residente (continuidade),90
Portugal,AR para Ex-Residentes de Longa Duração (perda de estatuto),90
Portugal,AR para Ex-Titulares de Cartão Azul UE (cancelamento),90
Portugal,AR para Filhos ou Filhas de Titulares de Autorização de Residência,90
Portugal,AR para Investigadores (Art. 91.º-B),90
Portugal,AR para Investigadores em Mobilidade,90
Portugal,AR para Maiores Nascidos em Portugal que Não se Tenham Ausentado,90
Portugal,AR para Menores Filhos de Cidadãos Estrangeiros Titulares de AR,90
Portugal,AR para Menores Nascidos em Portugal que Aqui Permaneçam,90
Portugal,AR para Menores Sujeitos a Tutela nos Termos do Código Civil,90
Portugal,AR para Nacional de País Terceiro que Acompanhe Pessoa Requerente,90
Portugal,AR para Pessoas com Filhos Menores Residentes em Portugal,90
Portugal,AR para Quem Não se Ausentou de Portugal (continuidade),90
Portugal,AR para Quem Perdeu Nacionalidade Portuguesa e Permaneceu em PT,90
Portugal,AR para Titulares do Estatuto de Residente de Longa Duração de outro EM,90
Portugal,AR para Voluntários (Art. 94.º),90
Portugal,"Autorização de Residência ""ICT Móvel"" (Mobilidade de Trabalhador Transferido)",90
Portugal,"Autorização de Residência ""TDE-ICT"" para Trabalhador Transferido Dentro da Empresa (Art. 124.º-B)",90
Portugal,Autorização de Residência Permanente (Art. 80.º REPSAE),90
Portugal,Autorização de Residência para Atividade Altamente Qualificada (D3),90
Portugal,Autorização de Residência para Atividade Cultural (Art. 90.º),90
Portugal,Autorização de Residência para Atividade Profissional Independente com Visto (D2 c/ visto),90
Portugal,Autorização de Residência para Atividade Profissional Prestada de Forma Remota (D8),90
Portugal,Autorização de Residência para Atividade de Docência (Art. 90.º),90
Portugal,Autorização de Residência para Imigrantes Empreendedores (Startup Visa),90
Portugal,"Autorização de Residência para Rendimentos Próprios ou Reformados (D7, Art. 89.º REPSAE)",90
Portugal,"Autorização de Residência para Titulares, Administradores ou Trabalhadores de Empresas Sediadas em PT",90
Portugal,Brexit — Acordo de Saída UE (Direitos de Residência),90
Portugal,Cartão Azul UE / AR para Trabalho Altamente Qualificado (EU Blue Card),90
Portugal,Estatuto de Residente de Longa Duração - UE (ERLD),90
Portugal,Mobilidade de Estudantes do Ensino Superior (Art. 91.º-A),90
Portugal,Protocolo de Cooperação para a Migração Laboral Regulada,90
Portugal,Reagrupamento Familiar com Familiar Fora de Território Nacional,90
Portugal,Reagrupamento Familiar com Familiar em Território Nacional (D6),90
Portugal,Regime e Requisitos Gerais da Autorização de Residência (Art. 77.º),90
Portugal,Tech Visa (Atividade Altamente Qualificada Exercida para Empresa Certificada),90
Portugal,Transição Ex-Estudante (Mestrado/Doutoramento) para Trabalho,90
Portugal,Transição Ex-Estudante (Secundário/1º ciclo Superior) para Trabalho,90
Portugal,Transição Ex-Visto Temporário (Investigação) para Trabalho,90
Romania,Permanent residence/stay permit,90
Romania,Residence card for family members,90
Russia,Recognition as a native Russian speaker,90
Russia,Temporary Residence Permit (RVP),90
San Marino,Stay permit,90
Slovakia,Long-Term Residence,90
Slovenia,Purpose of residence - studies,90
Slovenia,Residence of researchers staying in Slovenia to seek employment or self-employment,90
South Korea,E-2-91 Conversation Instructor Visa – FTA (English),90
South Korea,E-5 Professional Employment Visa,90
South Korea,E-9-2 Non-Professional Employment Visa – Construction Industry,90
South Korea,E-9-5 Non-Professional Employment Visa – Service Industry,90
Spain,Authorization and renewal of temporary residence due to exceptional circumstances,90
Spain,Autorizaciones de trabajo y residencia por cuenta ajena inicial,90
Spain,Autorización y renovación residencia temporal por circunstancias excepcionales,90
Spain,Initial Authorization of Residence and Work (Form EX17),90
Spain,Initial card or renewal residence or residence and work,90
Spain,"International Telework Visa (Digital Nomad, Ley 14/2013 amended Dec 2022)",90
Spain,Long-term residence - EU,90
Spain,National long-term residence,90
Spain,Residencia de larga duración nacional,90
Spain,Residencia de larga duración-UE,90
Spain,TARJETA DE RESIDENCIA PERMANENTE DE FAMILIAR DE CIUDADANO DE LA UNIÓN EUROPEA,90
Sweden,Seasonal Worker Permit,90
Sweden,Temporary work in Sweden,90
Taiwan,Resident Visas,90
Thailand,SMART-T,90
Timor-Leste,Exercício de actividade profissional /Professional Activities (VFR1),90
Timor-Leste,Reagrupamento familiar / Family Reunification (VFR2),90
United States,Post-Completion Optional Practical Training (OPT) and 24-Month STEM OPT Extension for F-1 Students,90
Armenia,Special residency status,120
Belgium,Belgian citizenship,120
Belgium,"Citizenship by Declaration — Disabled / Pensioner (Art. 12bis § 1, 4°)",120
Belgium,"Citizenship by Declaration — Long Residence 10y (Art. 12bis § 1, 5°)",120
Belgium,Single Permit / Permis Unique (work + residence >90 days),120
Canada,International adoption,120
Cyprus,Domestic work (DW),120
Cyprus,Family members of Cypriots (CY),120
Dominican Republic,Residencia Permanente Pensionado (Ley 171-07),120
Dominican Republic,Residencia Permanente Rentista (Ley 171-07),120
Germany,Visa for Recognition Partnership (§16d(3) AufenthG),120
Lithuania,Šeima,120
Luxembourg,Residence permit for third-country national salaried workers,120
New Zealand,Religious Workers Resident Visa,120
Solomon Islands,"Solomon Islands Citizenship by Naturalization (5-of-10 years, Citizenship Act 2018)",120
South Korea,E-9-1 Non-Professional Employment Visa – Manufacturing Industry,120
Sweden,Au Pair Residence Permit,120
Sweden,Student-to-Work Transition Permit,120
Sweden,Students who have found work,120
Brazil,Autorização de residência para tratamento de saúde,130
Brazil,Pedido de residência temporária,130
Australia,Australian Citizenship by Conferral (Naturalization),150
Belgium,Long-term resident,150
New Zealand,Long Term Skill Shortage List Work Visa,150
Albania,Acquisition of Albanian Citizenship by Descent,180
Albania,Acquisition of Albanian citizenship by naturalization,180
Albania,Albanian Citizenship by Descent (Diaspora Recognition Route),180
Albania,Albanian Citizenship by Marriage (3-year track),180
Australia,Subclass 190 — Skilled Nominated (State/Territory),180
Austria,EU Blue Card (Blaue Karte EU),180
Austria,Family Reunification — Family of Third-Country National (RWR/Researcher/Blue Card),180
Austria,Family — LTR-EU Family Mobility from another Member State (§ 50 NAG),180
Austria,Graduates of Austrian universities and universities of applied sciences,180
Austria,ICT - Intra-corporate transferee,180
Austria,Intra-Corporate Transferee (ICT),180
Austria,"Intra-corporate Transfer of Managers, Specialists and Trainee Employees (""ICT"" and ""mobile ICT"")",180
Austria,Mobile ICT (Intra-EU Mobility),180
Austria,Mobile ICT - mobile intra-corporate transferee,180
Austria,Naturalisation (fast-track 6 years — special integration),180
Austria,"Naturalisation (general, 10 years)",180
Austria,Other forms of settlement (Austria),180
Austria,Pupil Residence Permit (Aufenthaltsbewilligung Schüler),180
Austria,Pupils,180
Austria,Red-White-Red Card for Self-employed Key Workers,180
Austria,Red-White-Red Card for graduates,180
Austria,Red-White-Red Card plus,180
Austria,Red-White-Red Card — Other Key Workers,180
Austria,Red-White-Red Card — Self-employed Key Workers,180
Austria,Red-White-Red Card — Skilled Workers in Shortage Occupations,180
Austria,Red-White-Red Card — Very Highly Qualified Workers,180
Austria,"Regular Workers in Tourism, Agriculture and Forestry",180
Austria,Residence Permit – Student,180
Austria,Residence Permit – Student - no mobility programme,180
Austria,Residence permit social service workers,180
